User_ID,User_Name,Gender,City,Movie,Genre,Actor,Director,OTT_Platform,Movie_Rating,Watch_Time_Minutes,Wishlist_Movies,Watch_History,Recommended_Movie,Watch_Date
55,Reyansh Reddy,Female,Mumbai,Interstellar,Sci-Fi,Robert Downey Jr.,Russo Brothers,Amazon Prime,1,64,"Avatar, The Batman","The Batman, Pushpa, Titanic, Inception, Interstellar",Joker,2024-12-05
56,Sai Iyer,Female,Chennai,Inception,Sci-Fi,Shah Rukh Khan,Russo Brothers,Amazon Prime,2,217,Inception,"Pushpa, Interstellar, RRR",KGF,2024-01-22
57,Pooja Nair,Male,Bangalore,Titanic,Romance,Jr NTR,James Cameron,ZEE5,5,156,"Inception, Interstellar","KGF, Avatar, Avengers, Interstellar",Joker,2024-04-01
58,Aditya Gupta,Female,Delhi,Avengers,Action,Christian Bale,Todd Phillips,SonyLIV,5,212,"The Batman, Interstellar","RRR, Pushpa, Avengers, Titanic",Joker,2024-12-25
59,Ananya Das,Female,Pune,RRR,Drama,Shah Rukh Khan,James Cameron,ZEE5,2,225,Interstellar,"The Batman, Titanic",Interstellar,2024-01-10
60,Riya Mehta,Female,Chennai,Inception,Sci-Fi,Joaquin Phoenix,Christopher Nolan,Disney+ Hotstar,5,94,"Avatar, Titanic","Avatar, Pushpa, Joker, Inception",KGF,2024-07-10
61,Vihaan Yadav,Male,Chennai,Interstellar,Sci-Fi,Leonardo DiCaprio,Sukumar,Disney+ Hotstar,5,151,"Avengers, Joker","KGF, RRR, Pushpa",Interstellar,2024-01-03
62,Aarav Choudhary,Female,Bangalore,Inception,Sci-Fi,Prabhas,Prashanth Neel,Netflix,1,180,"The Batman, Interstellar","Avatar, Inception",KGF,2024-03-24
63,Anika Iyer,Male,Mumbai,Inception,Sci-Fi,Shah Rukh Khan,Sandeep Reddy Vanga,Amazon Prime,1,50,"The Batman, Pushpa","Avengers, Interstellar, Avatar, Joker, Inception",Avengers,2024-06-29
64,Ira Reddy,Female,Hyderabad,RRR,Drama,Allu Arjun,Christopher Nolan,Amazon Prime,5,148,Interstellar,"Titanic, Inception, Avengers, Avatar, KGF",The Batman,2024-11-21
65,Anika Khan,Male,Delhi,Pushpa,Action,Prabhas,Sandeep Reddy Vanga,SonyLIV,3,229,"KGF, Interstellar, Titanic","Titanic, The Batman",Pushpa,2024-03-27
66,Sai Shetty,Male,Bangalore,Titanic,Romance,Allu Arjun,Matt Reeves,Netflix,5,163,"Avengers, Inception, Pushpa","Joker, Titanic, KGF",RRR,2024-12-12
67,Arjun Choudhary,Male,Bangalore,Avatar,Action,Jr NTR,Atlee,Netflix,2,51,"Titanic, Pushpa","Avengers, KGF, Interstellar",Pushpa,2024-05-16
68,Aditya Yadav,Female,Hyderabad,Avatar,Action,Ram Charan,Matt Reeves,SonyLIV,3,54,"The Batman, Avengers, RRR","Interstellar, Inception, Avatar, Pushpa",Inception,2024-09-01
69,Aditya Joshi,Male,Mumbai,KGF,Action,Robert Downey Jr.,Russo Brothers,SonyLIV,2,70,"Avatar, Joker, Inception","Inception, Avatar",Avengers,2024-06-07
70,Vihaan Das,Male,Bangalore,Interstellar,Sci-Fi,Leonardo DiCaprio,Sukumar,Disney+ Hotstar,3,147,"Pushpa, Titanic, Inception","Avengers, Titanic",The Batman,2024-09-03
71,Aarav Agarwal,Male,Mumbai,Titanic,Romance,Shah Rukh Khan,Prashanth Neel,Netflix,1,142,"Titanic, KGF","The Batman, Avengers, Interstellar",Pushpa,2024-06-23
72,Diya Mehta,Female,Pune,Joker,Drama,Ram Charan,Prashanth Neel,SonyLIV,4,203,"RRR, Joker","Interstellar, Inception",KGF,2024-01-06
73,Aadhya Sharma,Female,Chennai,RRR,Drama,Joaquin Phoenix,Todd Phillips,ZEE5,2,104,"Interstellar, Pushpa, Inception","RRR, Joker, Titanic, Inception",Pushpa,2024-07-27
74,Aanya Gupta,Female,Hyderabad,Pushpa,Action,Ram Charan,S. S. Rajamouli,Netflix,3,202,"Inception, Pushpa, RRR","The Batman, RRR",Interstellar,2024-08-15
75,Vivaan Yadav,Female,Chennai,Interstellar,Sci-Fi,Christian Bale,Atlee,Netflix,5,42,RRR,"Pushpa, Inception, Avatar, Interstellar",Inception,2024-11-27
76,Ananya Kapoor,Female,Hyderabad,Joker,Drama,Yash,Atlee,ZEE5,1,44,"Avatar, KGF","Interstellar, Avatar, KGF",Pushpa,2024-02-06
77,Shaurya Nair,Female,Chennai,KGF,Action,Leonardo DiCaprio,Matt Reeves,Amazon Prime,4,212,"Inception, The Batman, Interstellar","Avengers, Joker",Pushpa,2024-06-06
78,Vihaan Nair,Male,Bangalore,The Batman,Action,Jr NTR,Prashanth Neel,Netflix,1,234,"Titanic, RRR, Avengers","Avatar, KGF, Titanic, Interstellar",Inception,2024-07-31
79,Pooja Iyer,Male,Delhi,The Batman,Action,Yash,S. S. Rajamouli,Netflix,2,117,"RRR, Pushpa","Avengers, The Batman, Inception, Interstellar, KGF",The Batman,2024-11-02
80,Vihaan Mehta,Male,Pune,The Batman,Action,Shah Rukh Khan,Sandeep Reddy Vanga,SonyLIV,5,30,"Joker, The Batman","Joker, Inception, Avengers, Pushpa",Interstellar,2024-11-11
81,Pooja Joshi,Male,Delhi,Avatar,Action,Robert Downey Jr.,Prashanth Neel,ZEE5,3,44,"Interstellar, RRR, Joker","Inception, Avengers, Joker",Avengers,2024-01-04
82,Aanya Shetty,Female,Delhi,Interstellar,Sci-Fi,Yash,Matt Reeves,ZEE5,3,54,Interstellar,"Avatar, The Batman, RRR",Avatar,2024-05-15
83,Sara Kulkarni,Female,Chennai,KGF,Action,Christian Bale,Russo Brothers,ZEE5,1,56,"Avatar, Inception","Titanic, Joker, RRR, KGF",The Batman,2024-10-28
84,Aditya Bansal,Female,Bangalore,Avengers,Action,Prabhas,Russo Brothers,ZEE5,4,128,Titanic,"Avengers, KGF, Avatar",Inception,2024-04-29
85,Riya Patel,Female,Pune,KGF,Action,Shah Rukh Khan,Matt Reeves,SonyLIV,5,225,Avatar,"Pushpa, Inception, RRR, Interstellar, Titanic",Titanic,2024-12-27
86,Aanya Joshi,Female,Chennai,Inception,Sci-Fi,Ram Charan,S. S. Rajamouli,ZEE5,4,49,"Pushpa, The Batman","Interstellar, Pushpa",Avatar,2024-12-10
87,Sai Nair,Female,Bangalore,RRR,Drama,Joaquin Phoenix,S. S. Rajamouli,SonyLIV,3,52,"Titanic, KGF","RRR, Interstellar, Titanic, The Batman",RRR,2024-02-17
88,Vivaan Kapoor,Male,Chennai,Avatar,Action,Leonardo DiCaprio,Christopher Nolan,ZEE5,4,237,Inception,"KGF, RRR, Inception, Avengers",RRR,2024-06-01
89,Vihaan Choudhary,Male,Bangalore,Pushpa,Action,Joaquin Phoenix,Russo Brothers,SonyLIV,4,83,"RRR, Inception","Joker, KGF, RRR, Interstellar",Joker,2024-08-31
90,Pooja Sharma,Male,Hyderabad,The Batman,Action,Joaquin Phoenix,S. S. Rajamouli,ZEE5,3,54,"Titanic, Avatar, Interstellar","The Batman, Avengers, Joker, Pushpa",Inception,2024-09-20
91,Myra Joshi,Male,Mumbai,Joker,Drama,Jr NTR,Christopher Nolan,SonyLIV,5,94,Joker,"RRR, Joker",RRR,2024-04-03
92,Pooja Khan,Male,Pune,Avatar,Action,Yash,S. S. Rajamouli,Netflix,1,213,"Joker, The Batman","RRR, Avengers",Interstellar,2024-08-28
93,Pooja Khan,Male,Hyderabad,RRR,Drama,Shah Rukh Khan,Sandeep Reddy Vanga,Netflix,3,36,"Avengers, Inception, Pushpa","Avengers, Titanic, KGF, Inception",Titanic,2024-12-20
94,Sara Shetty,Female,Hyderabad,KGF,Action,Jr NTR,James Cameron,Netflix,3,192,Pushpa,"Interstellar, Inception",Joker,2024-11-14
95,Sai Nair,Female,Chennai,Avengers,Action,Allu Arjun,Sukumar,Netflix,5,167,"Inception, KGF, RRR","Avatar, Inception, Avengers, The Batman",Pushpa,2024-02-08
96,Ishaan Das,Female,Delhi,Pushpa,Action,Leonardo DiCaprio,Atlee,ZEE5,1,38,Titanic,"Avengers, Joker, KGF, Inception",The Batman,2024-10-09
97,Sara Nair,Male,Hyderabad,Avatar,Action,Yash,Russo Brothers,Netflix,1,210,"KGF, Pushpa","KGF, The Batman, Avengers, RRR, Joker",Avatar,2024-08-14
98,Pooja Gupta,Male,Pune,Titanic,Romance,Joaquin Phoenix,S. S. Rajamouli,SonyLIV,1,47,Avengers,"Avatar, Joker, Titanic, KGF",RRR,2024-05-27
99,Aadhya Mehta,Female,Delhi,Avengers,Action,Leonardo DiCaprio,Christopher Nolan,ZEE5,2,212,"Titanic, Pushpa, Joker","The Batman, Pushpa, Titanic",Avatar,2024-11-29
100,Aditya Patel,Male,Hyderabad,Pushpa,Action,Prabhas,Sukumar,SonyLIV,1,212,"Joker, RRR, Interstellar","RRR, Avatar, Pushpa",Titanic,2024-10-19
101,Aarav Reddy,Male,Pune,KGF,Action,Prabhas,Todd Phillips,ZEE5,1,232,Inception,"Titanic, KGF, RRR, The Batman, Avatar",Avatar,2024-07-01
102,Sai Patel,Female,Mumbai,RRR,Drama,Ram Charan,Russo Brothers,Amazon Prime,1,83,"Interstellar, Avatar","Avengers, The Batman, Inception",Pushpa,2024-01-16
103,Reyansh Reddy,Female,Delhi,Titanic,Romance,Jr NTR,Sukumar,Amazon Prime,4,225,Titanic,"Inception, Joker, Titanic, The Batman",Avengers,2024-01-16
104,Reyansh Kapoor,Male,Pune,Interstellar,Sci-Fi,Shah Rukh Khan,Todd Phillips,Disney+ Hotstar,2,236,"Titanic, Avengers, The Batman","The Batman, RRR, Titanic",RRR,2024-09-18
105,Ira Mehta,Female,Mumbai,KGF,Action,Robert Downey Jr.,S. S. Rajamouli,Netflix,1,83,Titanic,"Avatar, Titanic",RRR,2024-10-16
106,Pooja Patel,Male,Hyderabad,Inception,Sci-Fi,Robert Downey Jr.,Sandeep Reddy Vanga,Disney+ Hotstar,2,74,"Joker, The Batman, Interstellar","Pushpa, Avengers, Interstellar",KGF,2024-06-28
107,Sara Malhotra,Male,Delhi,Avengers,Action,Prabhas,Sukumar,Amazon Prime,1,164,KGF,"RRR, Avengers, The Batman, Titanic, KGF",Avatar,2024-03-02
108,Shaurya Singh,Female,Mumbai,Titanic,Romance,Yash,Prashanth Neel,ZEE5,3,169,"Joker, Pushpa, Inception","Inception, Avatar, Joker",RRR,2024-07-05
109,Pooja Gupta,Male,Bangalore,Avatar,Action,Robert Downey Jr.,S. S. Rajamouli,ZEE5,5,188,Interstellar,"Avengers, Titanic, KGF",Avengers,2024-07-28
110,Anika Das,Male,Mumbai,Titanic,Romance,Robert Downey Jr.,Russo Brothers,SonyLIV,1,195,"KGF, Interstellar, Avengers","Titanic, Pushpa, RRR, KGF, Avatar",Avengers,2024-10-18
111,Riya Das,Female,Mumbai,Joker,Drama,Joaquin Phoenix,Sukumar,Disney+ Hotstar,5,227,"Avengers, The Batman, RRR","Pushpa, KGF, Titanic, RRR, Inception",Joker,2024-12-13
112,Vihaan Gupta,Female,Delhi,Titanic,Romance,Jr NTR,Atlee,SonyLIV,2,104,"Joker, The Batman, Interstellar","Avengers, KGF, Titanic, Inception",The Batman,2024-09-03
113,Sara Gupta,Male,Chennai,RRR,Drama,Allu Arjun,Prashanth Neel,Disney+ Hotstar,5,208,"Inception, KGF, Pushpa","The Batman, Avatar, KGF, Titanic",The Batman,2024-02-02
114,Shaurya Sharma,Female,Pune,Interstellar,Sci-Fi,Leonardo DiCaprio,Todd Phillips,SonyLIV,2,156,"Inception, KGF, Avengers","RRR, Pushpa, Titanic, Avatar",Titanic,2024-12-19
115,Vivaan Choudhary,Female,Bangalore,Avengers,Action,Prabhas,Prashanth Neel,Amazon Prime,3,30,"The Batman, Joker, Interstellar","The Batman, Joker, Inception, Pushpa",Interstellar,2024-09-23
116,Aditya Nair,Male,Delhi,Inception,Sci-Fi,Robert Downey Jr.,Sandeep Reddy Vanga,Amazon Prime,5,239,"Inception, The Batman, Interstellar","Avengers, Pushpa, Titanic",Avengers,2024-03-12
117,Diya Nair,Female,Mumbai,KGF,Action,Ram Charan,Matt Reeves,Amazon Prime,4,123,Pushpa,"KGF, Inception, Joker",The Batman,2024-01-01
118,Krishna Yadav,Female,Bangalore,Inception,Sci-Fi,Yash,Sukumar,Netflix,3,181,Inception,"Avengers, Joker",Avatar,2024-12-17
119,Reyansh Choudhary,Female,Chennai,KGF,Action,Robert Downey Jr.,Christopher Nolan,SonyLIV,5,176,"RRR, The Batman","Pushpa, The Batman, Inception, Avatar",The Batman,2024-08-22
120,Sai Kulkarni,Female,Pune,Avengers,Action,Robert Downey Jr.,Prashanth Neel,SonyLIV,2,202,The Batman,"Interstellar, RRR, KGF, The Batman",Titanic,2024-10-19
121,Aarav Das,Female,Delhi,Pushpa,Action,Prabhas,Sandeep Reddy Vanga,Disney+ Hotstar,2,208,RRR,"The Batman, Titanic",Joker,2024-04-19
122,Vihaan Patel,Male,Delhi,Titanic,Romance,Jr NTR,S. S. Rajamouli,SonyLIV,1,43,"RRR, The Batman, Interstellar","Inception, Joker",Pushpa,2024-11-30
123,Vivaan Joshi,Male,Hyderabad,KGF,Action,Christian Bale,Russo Brothers,Disney+ Hotstar,1,80,"Avengers, Joker","Pushpa, Avengers, KGF",The Batman,2024-06-23
124,Ira Agarwal,Male,Mumbai,KGF,Action,Ram Charan,Matt Reeves,ZEE5,3,130,Avatar,"KGF, The Batman, Pushpa, Titanic, Avengers",Pushpa,2024-04-21
125,Krishna Yadav,Male,Delhi,Avengers,Action,Leonardo DiCaprio,Matt Reeves,Disney+ Hotstar,4,68,"Interstellar, KGF, RRR","Avengers, Pushpa",KGF,2024-03-25
126,Anika Mehta,Male,Delhi,Inception,Sci-Fi,Robert Downey Jr.,Todd Phillips,ZEE5,2,160,"Titanic, Avatar, Joker","Inception, KGF, Avengers, RRR, Pushpa",Interstellar,2024-07-08
127,Pooja Das,Male,Pune,RRR,Drama,Yash,Christopher Nolan,ZEE5,4,151,"Pushpa, Joker, Titanic","Joker, Avatar, Avengers, Pushpa, Interstellar",Avatar,2024-10-11
128,Vivaan Yadav,Male,Hyderabad,Pushpa,Action,Ram Charan,Atlee,Amazon Prime,3,211,"Titanic, Joker","Avatar, KGF, Interstellar, Inception, RRR",KGF,2024-01-22
129,Reyansh Mehta,Male,Hyderabad,The Batman,Action,Shah Rukh Khan,Matt Reeves,ZEE5,4,61,Inception,"Avengers, Inception, Avatar, Interstellar",Inception,2024-11-27
130,Diya Gupta,Male,Delhi,Titanic,Romance,Jr NTR,Atlee,Netflix,5,110,"Avatar, RRR, The Batman","Avengers, Avatar, KGF, Titanic",Inception,2024-11-16
131,Myra Shetty,Male,Pune,The Batman,Action,Christian Bale,Sukumar,Amazon Prime,2,204,"Avatar, Inception, Pushpa","Joker, Interstellar, Pushpa, RRR",KGF,2024-11-03
132,Shaurya Das,Female,Hyderabad,Titanic,Romance,Yash,Russo Brothers,ZEE5,3,118,"Avatar, Pushpa, Avengers","KGF, Inception, Joker, Avatar, Titanic",Pushpa,2024-01-24
133,Myra Singh,Female,Chennai,RRR,Drama,Prabhas,Todd Phillips,Disney+ Hotstar,5,202,Inception,"Titanic, Joker, RRR, Avengers",Joker,2024-12-16
134,Ishaan Das,Male,Chennai,Avengers,Action,Robert Downey Jr.,Atlee,Netflix,5,88,"Avengers, Inception","Interstellar, Avengers, The Batman, Pushpa",Inception,2024-03-21
135,Arjun Shetty,Female,Hyderabad,Joker,Drama,Allu Arjun,Prashanth Neel,Netflix,4,112,"Avengers, Titanic, Inception","Inception, Titanic",Inception,2024-03-03
136,Aarav Agarwal,Female,Pune,Titanic,Romance,Yash,Todd Phillips,Netflix,2,142,KGF,"Avatar, KGF",The Batman,2024-12-01
137,Ishaan Mehta,Male,Bangalore,Avatar,Action,Jr NTR,Prashanth Neel,ZEE5,5,72,Pushpa,"Titanic, Pushpa",Avatar,2024-08-04
138,Sara Malhotra,Male,Mumbai,Avengers,Action,Joaquin Phoenix,James Cameron,Amazon Prime,2,44,Inception,"Avengers, Avatar",Avengers,2024-06-18
139,Sai Khan,Female,Delhi,Joker,Drama,Yash,Atlee,Amazon Prime,1,135,Titanic,"RRR, Interstellar, KGF, The Batman",Avatar,2024-12-14
140,Sara Choudhary,Female,Mumbai,Inception,Sci-Fi,Christian Bale,Todd Phillips,SonyLIV,5,208,"Titanic, Pushpa","Joker, Pushpa, RRR, Avengers",KGF,2024-03-22
141,Diya Bansal,Female,Chennai,Pushpa,Action,Prabhas,Todd Phillips,Disney+ Hotstar,3,137,Interstellar,"Avengers, Titanic, Inception, RRR, KGF",KGF,2024-03-19
142,Arjun Iyer,Female,Delhi,Inception,Sci-Fi,Allu Arjun,Sukumar,ZEE5,2,113,"KGF, Joker","Inception, Pushpa, RRR, The Batman",The Batman,2024-12-06
143,Myra Nair,Male,Pune,Avatar,Action,Robert Downey Jr.,Russo Brothers,Disney+ Hotstar,3,192,"Pushpa, RRR, KGF","Avatar, RRR, Inception, Titanic",RRR,2024-07-17
144,Aadhya Das,Female,Bangalore,Avengers,Action,Joaquin Phoenix,Prashanth Neel,Disney+ Hotstar,3,49,"KGF, The Batman","Pushpa, The Batman, Inception, Joker, KGF",Pushpa,2024-02-14
